"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"086015","Pietraperzia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6304,"e","dato stimato"
"083068","Piraino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3797,"e","dato stimato"
"081016","Poggioreale","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1291,"e","dato stimato"
"082058","Polizzi Generosa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2851,"e","dato stimato"
"084028","Porto Empedocle","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",15584,"e","dato stimato"
"089020","Portopalo di Capo Passero","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3826,"e","dato stimato"
"088008","Pozzallo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",18900,"e","dato stimato"
"089021","Priolo Gargallo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11198,"e","dato stimato"
"082060","Prizzi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4083,"e","dato stimato"
"084029","Racalmuto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7531,"e","dato stimato"
"083069","Raccuja","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",834,"e","dato stimato"
"087036","Raddusa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2787,"e","dato stimato"
"084030","Raffadali","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11855,"e","dato stimato"
"087058","Ragalna","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4216,"e","dato stimato"
"087037","Ramacca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",10187,"e","dato stimato"
"087038","Randazzo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",10156,"e","dato stimato"
"084031","Ravanusa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",10259,"e","dato stimato"
"084032","Realmonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4378,"e","dato stimato"
"086016","Regalbuto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6629,"e","dato stimato"
"083070","Reitano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",705,"e","dato stimato"
"085014","Resuttano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1717,"e","dato stimato"
"085015","Riesi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",10401,"e","dato stimato"
"087039","Riposto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",13991,"e","dato stimato"
"082062","Roccapalumba","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2131,"e","dato stimato"
"083076","Rometta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6596,"e","dato stimato"
"082059","Pollina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2822,"e","dato stimato"
"084033","Ribera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",17761,"e","dato stimato"
"083071","Roccafiorita","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",178,"e","dato stimato"
"083072","Roccalumera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4064,"e","dato stimato"
"082061","Roccamena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1314,"e","dato stimato"
"083073","Roccavaldina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1003,"e","dato stimato"
"083074","Roccella Valdemone","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",560,"e","dato stimato"
"083075","Rodì Milici","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1959,"e","dato stimato"
"089016","Rosolini","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",20580,"e","dato stimato"
"081017","Salaparuta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1547,"e","dato stimato"
"081018","Salemi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",9974,"e","dato stimato"
"084034","Sambuca di Sicilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5321,"e","dato stimato"
"084035","San Biagio Platani","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2829,"e","dato stimato"
"085016","San Cataldo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",20659,"e","dato stimato"
"082063","San Cipirello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4884,"e","dato stimato"
"087040","San Cono","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2451,"e","dato stimato"
"083077","San Filippo del Mela","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6691,"e","dato stimato"
"083078","San Fratello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3198,"e","dato stimato"
"084036","San Giovanni Gemini","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7469,"e","dato stimato"
"087041","San Giovanni la Punta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",23995,"e","dato stimato"
"082064","San Giuseppe Jato","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8019,"e","dato stimato"
"087042","San Gregorio di Catania","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11501,"e","dato stimato"
"083079","San Marco d'Alunzio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1817,"e","dato stimato"
"082065","San Mauro Castelverde","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1316,"e","dato stimato"
"087043","San Michele di Ganzaria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2844,"e","dato stimato"
"083080","San Pier Niceto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2583,"e","dato stimato"
"083081","San Piero Patti","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2593,"e","dato stimato"
"087044","San Pietro Clarenza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8339,"e","dato stimato"
"083082","San Salvatore di Fitalia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1119,"e","dato stimato"
"083090","San Teodoro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1251,"e","dato stimato"
"081020","San Vito Lo Capo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4801,"e","dato stimato"
"085017","Santa Caterina Villarmosa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4578,"e","dato stimato"
"082066","Santa Cristina Gela","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",993,"e","dato stimato"
"088010","Santa Croce Camerina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11155,"e","dato stimato"
"083083","Santa Domenica Vittoria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",853,"e","dato stimato"
"084037","Santa Elisabetta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2184,"e","dato stimato"
"082067","Santa Flavia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11035,"e","dato stimato"
"083086","Santa Lucia del Mela","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4374,"e","dato stimato"
"084038","Santa Margherita di Belice","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5958,"e","dato stimato"
"087047","Santa Maria di Licodia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7530,"e","dato stimato"
"083087","Santa Marina Salina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",858,"e","dato stimato"
"081019","Santa Ninfa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4728,"e","dato stimato"
"084040","Santo Stefano Quisquina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3998,"e","dato stimato"
"083092","Saponara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3670,"e","dato stimato"
"083093","Savoca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1715,"e","dato stimato"
"083094","Scaletta Zanclea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1845,"e","dato stimato"
"084041","Sciacca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",38712,"e","dato stimato"
"082068","Sciara","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2485,"e","dato stimato"
"088011","Scicli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",26786,"e","dato stimato"
"082081","Scillato","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",587,"e","dato stimato"
"082069","Sclafani Bagni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",369,"e","dato stimato"
"087049","Scordia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",16023,"e","dato stimato"
"083095","Sinagra","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2462,"e","dato stimato"
"089018","Solarino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7536,"e","dato stimato"
"085020","Sutera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1162,"e","dato stimato"
"083097","Taormina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",10499,"e","dato stimato"
"087050","Trecastagni","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11324,"e","dato stimato"
"087051","Tremestieri Etneo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",19371,"e","dato stimato"
"082076","Valledolmo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3115,"e","dato stimato"
"085021","Vallelunga Pratameno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3057,"e","dato stimato"
"083089","Santa Teresa di Riva","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",9266,"e","dato stimato"
"087048","Santa Venerina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8426,"e","dato stimato"
"083084","Sant'Agata di Militello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11933,"e","dato stimato"
"087045","Sant'Agata li Battiati","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",9271,"e","dato stimato"
"083085","Sant'Alessio Siculo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1550,"e","dato stimato"
"087046","Sant'Alfio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1514,"e","dato stimato"
"083088","Sant'Angelo di Brolo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2722,"e","dato stimato"
"084039","Sant'Angelo Muxaro","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1168,"e","dato stimato"
"083091","Santo Stefano di Camastra","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4351,"e","dato stimato"
"085018","Serradifalco","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5454,"e","dato stimato"
"084042","Siculiana","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4159,"e","dato stimato"
"085019","Sommatino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6339,"e","dato stimato"
"089019","Sortino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8147,"e","dato stimato"
"083096","Spadafora","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4648,"e","dato stimato"
"086017","Sperlinga","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",675,"e","dato stimato"
"083106","Terme Vigliatore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7244,"e","dato stimato"
"082070","Termini Imerese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",24836,"e","dato stimato"
"082071","Terrasini","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",12961,"e","dato stimato"
"083098","Torregrotta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7297,"e","dato stimato"
"083108","Torrenova","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4512,"e","dato stimato"
"082072","Torretta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4367,"e","dato stimato"
"083099","Tortorici","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5629,"e","dato stimato"
"082073","Trabia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",10616,"e","dato stimato"
"082074","Trappeto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3091,"e","dato stimato"
"083100","Tripi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",748,"e","dato stimato"
"086018","Troina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8423,"e","dato stimato"
"083101","Tusa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2543,"e","dato stimato"
"083102","Ucria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",876,"e","dato stimato"
"082075","Ustica","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1310,"e","dato stimato"
"081022","Valderice","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11389,"e","dato stimato"
"083103","Valdina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1258,"e","dato stimato"
"087052","Valverde","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7839,"e","dato stimato"
"083104","Venetico","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3969,"e","dato stimato"
"082077","Ventimiglia di Sicilia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1775,"e","dato stimato"
"087053","Viagrande","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8935,"e","dato stimato"
"082078","Vicari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2390,"e","dato stimato"
"082079","Villabate","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",19550,"e","dato stimato"
"084043","Villafranca Sicula","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1320,"e","dato stimato"
"083105","Villafranca Tirrena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7918,"e","dato stimato"
"082080","Villafrati","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3104,"e","dato stimato"
"085022","Villalba","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1390,"e","dato stimato"
"086020","Villarosa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4328,"e","dato stimato"
"081023","Vita","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1761,"e","dato stimato"
"087055","Zafferana Etnea","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",9397,"e","dato stimato"
"086019","Valguarnera Caropepe","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6837,"e","dato stimato"
"088012","Vittoria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",64678,"e","dato stimato"
"087054","Vizzini","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5649,"e","dato stimato"
"082032","Collesano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3616,"e","dato stimato"
"081025","Misiliscemi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8417,"e","dato stimato"
